state,FSSLTDED,SHELDED,HWGT,FSNONCIT,FSSTDDE2,LIQRESOR,FSUNEARN,FSASSET,TPOV,FSTANF,FSTOTDED,TANF_IND,CERTHHSZ,FSSSI,FSERNDED
Connecticut,584,584,3575,0,240,0,920,0,92,0,744,0,1,0,0
Connecticut,969,968,3704,0,240,0,1197,0,140,0,1171,0,1,0,42
Connecticut,969,969,3521,0,240,0,1278,0,127,0,1129,0,1,0,0
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,1,0,0
Connecticut,802,802,3527,0,240,0,1113,0,111,0,962,0,1,735,0
Connecticut,546,728,4416,0,240,0,0,0,171,0,1049,0,1,0,343
Connecticut,535,535,2763,0,24,0,860,0,127,0,2299,0,3,0,260
Connecticut,576,576,3778,0,240,0,1011,0,101,0,736,0,1,0,0
Connecticut,1054,1054,3216,0,0,0,909,0,90,0,1214,0,1,151,0
Connecticut,0,0,2763,0,26,0,26,0,2,0,160,0,3,0,0
Connecticut,966,966,3541,0,240,0,1331,0,132,0,1172,0,1,0,0
Connecticut,696,696,4022,0,240,0,1250,0,124,0,856,0,1,0,0
Connecticut,535,535,2962,0,44,0,515,0,38,0,695,0,2,0,0
Connecticut,535,535,3466,0,160,0,0,0,102,0,899,0,1,0,204
Connecticut,535,535,2962,0,0,0,200,0,15,0,695,0,2,0,0
Connecticut,535,517,3216,0,115,0,650,0,65,0,695,0,1,0,0
Connecticut,1341,1341,3216,0,0,0,1245,0,124,0,1501,0,1,490,0
Connecticut,535,535,4294,0,266,0,1332,0,63,0,843,0,6,0,80
Connecticut,335,335,3770,0,255,0,0,0,64,0,765,0,4,0,260
Connecticut,535,535,4589,0,160,0,0,0,138,0,1068,0,2,0,373
Connecticut,0,0,4389,0,160,0,735,0,73,0,160,0,1,735,0
Connecticut,535,535,3805,0,160,0,0,0,122,0,940,0,1,0,245
Connecticut,535,535,3216,0,0,0,0,0,57,0,808,0,1,0,113
Connecticut,831,831,3216,0,3,0,754,0,75,0,991,0,1,0,0
Connecticut,226,226,4280,0,240,0,909,0,90,0,386,0,1,735,0
Connecticut,561,561,3277,0,240,0,0,0,93,0,908,0,1,0,187
Connecticut,452,452,3312,0,240,0,879,0,52,487,612,1,3,0,0
Connecticut,535,1053,2962,0,0,0,219,0,29,0,728,0,2,0,33
Connecticut,535,535,4024,0,160,0,0,0,96,0,1023,0,3,0,328
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,1,0,0
Connecticut,535,535,2962,0,0,0,0,0,0,0,695,0,2,0,0
Connecticut,535,535,2763,0,112,0,647,0,38,597,695,1,3,0,0
Connecticut,945,945,3216,0,0,0,826,0,82,0,1105,0,1,652,0
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,1,0,0
Connecticut,0,0,2672,0,0,0,0,0,0,0,170,0,4,0,0
Connecticut,321,321,4252,0,255,0,1267,0,62,0,491,0,4,735,0
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,1,0,0
Connecticut,741,741,3216,0,74,0,735,0,73,0,901,0,1,735,0
Connecticut,535,535,2672,0,0,0,0,0,0,0,705,0,4,0,0
Connecticut,535,535,3698,0,160,0,0,0,113,0,1456,0,3,0,383
Connecticut,648,648,3216,0,187,0,755,0,75,0,808,0,1,187,0
Connecticut,535,535,2763,0,68,0,533,0,31,0,695,0,3,0,0
Connecticut,535,535,4295,0,160,0,782,0,95,0,861,0,3,0,166
Connecticut,596,596,3887,0,240,0,1085,0,108,0,756,0,1,0,0
Connecticut,535,535,2672,1,0,0,0,0,0,0,705,0,4,0,0
Connecticut,571,572,3270,0,240,0,756,0,75,0,731,0,1,115,0
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,1,0,0
Connecticut,491,491,4416,0,240,0,1260,0,125,0,651,0,1,0,0
Connecticut,573,573,5247,0,240,0,2370,0,175,0,733,0,2,0,0
Connecticut,535,535,3216,0,0,0,0,0,52,0,799,0,1,0,104
Connecticut,535,535,3216,0,153,0,0,0,86,0,867,0,1,0,172
Connecticut,781,781,5125,1,240,0,2004,0,148,0,941,0,2,0,0
Connecticut,388,388,4621,0,240,0,0,0,129,0,1287,0,3,0,439
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,1,0,0
Connecticut,587,587,3256,0,240,0,765,0,76,0,747,0,1,0,0
Connecticut,630,630,3216,0,185,0,735,0,73,0,790,0,1,735,0
Connecticut,570,570,3216,0,186,0,676,0,67,0,730,0,1,490,0
Connecticut,516,602,4366,0,240,0,1364,0,101,0,676,0,2,0,0
Connecticut,539,539,4416,0,240,0,103,0,207,0,1095,0,1,103,396
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,1,0,0
Connecticut,675,675,3216,0,122,0,717,0,71,0,835,0,1,0,0
Connecticut,0,0,3216,0,0,0,0,0,0,0,160,0,1,0,0
Connecticut,535,535,4020,0,160,0,0,0,136,0,1328,0,2,0,369
Connecticut,535,535,2763,0,18,0,0,0,41,0,833,0,3,0,138
Connecticut,484,484,4206,0,240,0,1128,0,112,0,644,0,1,0,0
Connecticut,631,631,3724,0,240,0,994,0,99,0,791,0,1,0,0
Connecticut,873,873,4134,0,240,0,989,0,146,0,1128,0,1,0,95
Connecticut,535,535,2751,0,0,0,162,0,12,162,695,1,2,0,0
Connecticut,684,684,3434,0,240,0,949,0,94,0,844,0,1,0,0
Connecticut,535,535,3114,0,0,0,0,0,0,0,695,0,1,0,0
Connecticut,700,700,3444,0,240,0,967,0,96,0,860,0,1,0,0
Connecticut,0,0,3114,0,0,0,0,0,0,0,160,0,1,0,0
Connecticut,0,0,3114,0,0,0,0,0,0,0,160,0,1,0,0
Connecticut,535,535,3114,0,0,0,0,0,0,0,695,0,1,0,0
Connecticut,883,890,2751,0,0,0,751,0,55,0,1043,0,2,735,0
Connecticut,763,763,3114,0,0,0,490,0,49,0,923,0,1,490,0
Connecticut,1278,1227,3114,0,0,0,909,0,140,0,1786,0,1,0,100
Connecticut,1101,1101,3114,0,0,0,715,0,71,0,1261,0,1,0,0
Connecticut,316,315,5081,0,342,0,1445,0,47,0,544,0,7,1249,0
Connecticut,535,535,3114,0,80,0,0,0,69,0,833,0,1,0,138
Connecticut,535,535,3114,0,0,0,0,0,0,0,695,0,1,0,0
Connecticut,606,606,4734,0,240,0,1305,0,130,0,766,0,1,0,0
Connecticut,535,535,3114,0,0,0,0,0,0,0,695,0,1,0,0
Connecticut,535,535,5993,0,160,0,0,0,164,0,1138,0,2,0,443
Connecticut,1182,1182,2384,0,160,0,1242,0,52,487,1381,1,5,238,0
Connecticut,675,675,4052,1,240,0,1266,0,94,0,835,0,2,0,0
Connecticut,458,458,3882,0,240,0,0,0,92,0,866,0,2,0,248
Connecticut,552,552,3734,0,240,0,917,0,91,0,712,0,1,0,0
Connecticut,535,535,2751,0,0,0,271,0,20,0,695,0,2,0,0
Connecticut,557,557,3174,0,240,0,735,0,73,0,717,0,1,735,0
Connecticut,535,535,2469,0,62,0,597,0,35,597,695,1,3,0,0
Connecticut,656,656,3114,0,135,0,711,0,71,0,816,0,1,0,0
